,Job Title,Company Name,Company ID,Employment Type,Schedule,Salary From,Salary To,Salary Currency,Professional Roles,Required Experience,Region,Full Address,Address Latitude,Address Longitude,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
299,Тренер-наставник-психолог-педагог,Нургазин Т.,10952840,Частичная занятость,Гибкий график,200000.0,350000.0,KZT,Психолог,От 3 до 6 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108819829,https://hh.ru/vacancy/108819829,2024-10-30T06:03:24+0300,False,Образование в области педагогики или психологии. Оптимистичность и положительный взгляд на жизнь. Здоровый и активный образ жизни. Высокоразвитое чувство эмпатии. ,Проведение групповых занятий по развитию мягких навыков. Проведение неформальных командных и общеклубных встреч и мероприятий. Быть всегда на связи со...
300,Офис-менеджер в школу вокала и личностного развития (куратор),ДОТС САПЛАЙС,2435165,Полная занятость,Сменный график,150000.0,250000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, микрорайон Горный Гигант, улица Алдар Косе, 73",43.220781,76.940237,https://hh.ru/applicant/vacancy_response?vacancyId=108242819,https://hh.ru/vacancy/108242819,2024-10-07T10:32:58+0300,False,"Умение находить общий язык с разными людьми, поддержание доброжелательной располагающей обстановки. Пунктуальность, внимательное отношение к ведению графиков и мероприятий в...","Записывать учеников с учетом расписания <highlighttext>преподавателей</highlighttext>, контролировать соблюдения расписания: подтверждать записи, при необходимости вносить корректировок (в CRM и в Google..."
301,Педагог раннего развития и подготовки к школе,Бегимов Н.А,10954886,Полная занятость,Полный день,150000.0,150000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, 3-й микрорайон, 65",43.226161,76.846606,https://hh.ru/applicant/vacancy_response?vacancyId=108919378,https://hh.ru/vacancy/108919378,2024-10-21T07:27:37+0300,False,Высшее педагогическое образование. Опыт работы с детьми от 1 года. Умение в игровой форме заинтересовать ребенка. Занятия проводить на русском...,Проведение занятий для группы раннего развития от 3-5лет. Проведение занятий для группы подготовка к школе 5-7.
302,Психолог,Академия гражданской авиации,998275,Полная занятость,Полный день,,,,Психолог,От 1 года до 3 лет,Алматы,"Алматы, улица Ахметова, 44",43.354981,77.005751,https://hh.ru/applicant/vacancy_response?vacancyId=108375411,https://hh.ru/vacancy/108375411,2024-10-08T20:27:48+0300,False,"Высшее образование по специальности <highlighttext>педагог</highlighttext>-психолог. Курсы повышения квалификации, желательно опыт работы в сфере образования. Знание казахского, русского языков обязательно...","Участвует в различных процессах по психологической поддержке развития учебно-воспитательного процесса. При необходимости оказывает помощь студентам посредством психологического консультирования, осуществляет..."
303,Проектный менеджер,Qazsaq Media Group,9359988,Полная занятость,Полный день,300000.0,500000.0,KZT,Руководитель проектов,От 1 года до 3 лет,Астана,"Астана, проспект Кабанбай Батыра, 11/5",51.140048,71.413343,https://hh.ru/applicant/vacancy_response?vacancyId=108381482,https://hh.ru/vacancy/108381482,2024-10-30T08:05:55+0300,False,Высшее образование. Опыт работы на этой или аналогичной позиции не менее 1 года. Грамотная устная и письменная речь (проверяется при...,Инициация проекта. Планирование. Организация. Контроль. Коммуникация. Регулярная отчетность о ходе проекта.
304,Менеджер по продажам,ИВАНОВ И.А. «Школа робототехники Byte»,2933087,Полная занятость,Гибкий график,200000.0,350000.0,KZT,"Менеджер по продажам, менеджер по работе с клиентами",Нет опыта,Кокшетау,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108953972,https://hh.ru/vacancy/108953972,2024-10-21T11:25:41+0300,False,"Желателен опыт работы в продажах или в сфере B2B-партнерств, предпочтительно с образовательными учреждениями. Отличные навыки переговоров и...",Поддержка существующих партнерств. Проведение презентаций: Организовывать и проводить презентации для детей и родителей. Контроль и планирование деятельности <highlighttext>преподавателей</highlighttext>. 
305,Преподаватель английского языка,LinguaTime school,4197976,Полная занятость,Удаленная работа,100000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109240400,https://hh.ru/vacancy/109240400,2024-10-24T19:49:10+0300,False,Высшее образование: филологическое/педагогическое (обязательно). Наличие сертификатов CELTA/TESOL/IELTS/TOEFL приветствуется . Опыт работы со взрослыми и детьми. ,"Преподавание английского языка в группах и индивидуально на высоком уровне. Подготовка к международным экзаменам (IELTS, TOEFL). Проводить тестирование (устно и..."
306,Учитель математики,BI Education,10893023,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109446915,https://hh.ru/vacancy/109446915,2024-10-28T11:16:44+0300,False,Высшее и (или) послевузовское педагогическое образование. Опыт работы с программой IB Международный бакалавриат. Знание английского языка.,Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета. Способствует формированию общей культуры личности обучающегося и его социализации. 
307,Педагог-воспитатель в группу 3-4 года,Kids Discovery Academy,9184011,Полная занятость,Полный день,200000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, бульвар Бухар Жырау, 27/5",43.23466873168945,76.92378234863281,https://hh.ru/applicant/vacancy_response?vacancyId=108410852,https://hh.ru/vacancy/108410852,2024-10-09T13:39:08+0300,False,"Проведение развивающих занятий (улучшение моторики, речи, мышления, памяти). Развитие речи. Требования: Обязательное педагогическое образование. Умение общаться с детьми, умение наладить...",Обязанности: Присмотр за детьми 3-4 лет. Обратная связь с родителями. Проведение уроков по расписанию.
308,Администратор в творческий образовательный центр,Школа вокала Дианы Шараповой (ИП Миронов),2291704,Полная занятость,Полный день,200000.0,,KZT,Администратор,От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108722284,https://hh.ru/vacancy/108722284,2024-10-16T11:00:11+0300,False,"Опыт работы в административной сфере обязателен. Аккуратность, исполнительность, трудолюбие. Грамотная речь.",Консультации посетителей по вопросам творческих занятий для взрослых и детей. Составление расписания учеников и <highlighttext>преподавателей</highlighttext>. Работа с CRM системой. 
309,Учитель английского языка,BAGLAN ABDRAIM oner bilim ortalygy,5966565,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"село Бесагаш, Суюнбая улица, 7",43.283567,77.011473,https://hh.ru/applicant/vacancy_response?vacancyId=108947995,https://hh.ru/vacancy/108947995,2024-10-21T10:45:08+0300,False,Ответственность. Пунктуальность.,Проведение уроков с ученикам. Развитие у детей интереса к изучению английского языка.
310,Преподаватель по педагогике и психологии,ALT Университет имени Мухамеджана Тынышпаева,1594173,Полная занятость,Полный день,,,,Психолог,От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108185808,https://hh.ru/vacancy/108185808,2024-10-04T14:15:54+0300,False,"Высшее, педагогика и психология. Опыт работы в сфере психологии и педагогики будет преимуществом. Опыт работы с трудными подростками будет преимуществом. ","Организация учебного процесса в соответствии с установленными планами и стандартами. Организация обучения учащихся в различных формах (индивидуальных, самостоятельных, контрольных работах..."
311,Преподаватель начальных классов в образовательный центр,Goals lab,5015932,Полная занятость,Полный день,350000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Нур-Султан (Астана), улица Ахмета Байтурсынова, 23блокБ",51.123255,71.480627,https://hh.ru/applicant/vacancy_response?vacancyId=108385061,https://hh.ru/vacancy/108385061,2024-10-09T09:06:54+0300,False,"умение работать с детьми. - Знание базовой программы начальной школы. - Грамотная речь и письмо на казахском и русском языках, английский язык...","Что нужно делать? Проводить занятия с детьми школьного и дошкольного возраста: - выполнение домашних заданий, разбор непонятных тем и пробелов, подготовка..."
312,Преподаватель физической культуры и спорта,КАЗАХСТАНСКИЙ МЕЖДУНАРОДНЫЙ КОЛЛЕДЖ,10525118,Полная занятость,Полный день,250000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Бигельдинова, 6",51.164612,71.411026,https://hh.ru/applicant/vacancy_response?vacancyId=108615322,https://hh.ru/vacancy/108615322,2024-10-14T13:32:06+0300,False,Опыт преподавания более 2-х лет. Высшее педагогическое образование. Категория предпочтительна.,Осуществляет обучение и воспитание обучающихся с учётом специфики преподаваемого предмета. Преподавание на русском и казахском языках.
313,Педагог по творчеству (ИЗО),Саметова А.С,5444199,Полная занятость,Полный день,250000.0,,KZT,Другое,От 1 года до 3 лет,Астана,"Нур-Султан (Астана), улица Динмухамеда Кунаева, 14Б",51.129083,71.433232,https://hh.ru/applicant/vacancy_response?vacancyId=108885097,https://hh.ru/vacancy/108885097,2024-10-19T06:40:19+0300,False,Проведение занятий по ИЗО детям в возрасте от 3-7 лет. Требования: Серьёзный ответственный подход к работе. Любовь к детям...,
314,Преподаватель английского языка,STATUS PRO,10731939,Частичная занятость,Гибкий график,150000.0,250000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, проспект Аль-Фараби, 53В",43.223927,76.935368,https://hh.ru/applicant/vacancy_response?vacancyId=109637274,https://hh.ru/vacancy/109637274,2024-10-30T11:38:09+0300,False,Соответствующий уровень владения английского языка. Ответственность к проведению уроков. Приветствуется опыт работы преподавания английского детям.,Вести групповые уроки английского языка оффлайн. Подготовка материалов к уроку. Контроль посещения занятий среди учеников. Сдача ежемесячного отчета о проведенных...
315,Преподаватель дошкольного образования,Зерделі,3161416,Полная занятость,Полный день,200000.0,450000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Павлодар,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108524169,https://hh.ru/vacancy/108524169,2024-10-11T15:11:59+0300,False,Требования к структуре образовательной программы дошкольного образования.,Организация различных видов деятельности и общения воспитанников. Организация образовательной деятельности по реализации основной общеобразовательной программы дошкольного образования. Требования: Наблюдение за...
316,Native English preschool teacher,GS Group Astana,11278819,Полная занятость,Полный день,499000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109572225,https://hh.ru/vacancy/109572225,2024-10-29T18:36:07+0300,False,Native English speaker. Possession of a preschool teaching certificate. Experience working with preschool-age children. A higher or specialized education...,Conducting developmental activities and lessons in English aimed at building children’s language and communication skills. Creating an English-speaking...
317,Учитель по танцам,Shyrak,10478873,Частичная занятость,Гибкий график,,300000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Астана, улица Кенена Азербаева, 6/3",51.125974,71.501953,https://hh.ru/applicant/vacancy_response?vacancyId=108030837,https://hh.ru/vacancy/108030837,2024-10-02T09:00:53+0300,False,Наличие диплома о высшем или среднем образовании.,
318,Преподаватель английского языка,Education for you,9099746,Полная занятость,Удаленная работа,150000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108158281,https://hh.ru/vacancy/108158281,2024-10-04T07:58:31+0300,False,"Ответственное отношение к работе, детям и результатам. - Средне-специальное или высшее образование. - Свободное владение английским языком. - Знание и применение различных...",Проведение групповых и индивидуальных занятий для подростков и детей. - Работа по программам и методикам нашей школы. - Ведение отчетности.
319,Teacher of English as an Additional Language (EAL),"Haileybury Almaty, НАО",156347,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, Аль-Фараби, 112",43.21994,76.933634,https://hh.ru/applicant/vacancy_response?vacancyId=108828023,https://hh.ru/vacancy/108828023,2024-10-18T09:24:08+0300,False,Teaching degree in English (with CELTA or equivalent is desirable). Evidence of study at post-graduate level or beyond is...,"Plan, deliver and continuously evaluate teaching and learning activities to maximise progression in pupil learning. Ensure effective differentiation by planning..."
320,Преподаватель по английскому языку,Юсупова К.С,4273414,Частичная занятость,Гибкий график,200000.0,,KZT,"Учитель, преподаватель, педагог",Более 6 лет,Алматы,"Алматы, Наурызбайский район, улица Герольда Бельгера, 1А",43.19399,76.838736,https://hh.ru/applicant/vacancy_response?vacancyId=108962432,https://hh.ru/vacancy/108962432,2024-10-21T12:54:18+0300,False,Знание языков: Русский в совершенстве. Казахский -желательно.,Проводить открытые уроки. Контакт с родителями об успеваемости. Совместная подготовка к праздникам в коллективе.
321,Учитель биологии и естествознания,Байтерек Білімі,10120134,Полная занятость,Полный день,200000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, улица Толе би, 109",43.253751,76.923178,https://hh.ru/applicant/vacancy_response?vacancyId=108785520,https://hh.ru/vacancy/108785520,2024-10-17T11:06:09+0300,False,"Команда натуралистов. Работайте в кругу единомышленников, увлечённых биологией и образованием. Обменивайтесь опытом, вместе формируйте новое поколение учёных и исследователей природы. ",
322,Педагог-хореограф,Томирис,10738269,Полная занятость,Сменный график,150000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Лепсы, 38",51.147427,71.525713,https://hh.ru/applicant/vacancy_response?vacancyId=108870022,https://hh.ru/vacancy/108870022,2024-10-18T17:51:43+0300,False,Умение разговаривать на казахском языке и на русском языке.,"Пунктуальность, вовремя приходить на работу. Находить общий язык с детьми и родителями а также с коллективом."
323,Педагог подготовки к школе,Kidsunlimited,2999462,Полная занятость,Полный день,300000.0,400000.0,KZT,"Учитель, преподаватель, педагог",Более 6 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108073205,https://hh.ru/vacancy/108073205,2024-10-02T15:51:24+0300,False,"Высшее образование. -Опыт работы от 4 лет. -Знание методик развития детей. -Ответственность, пунктуальность, порядочность. -Коммуникабельность, умение работать в команде. -","Проводить занятия с детьми дошкольного возраста (5-6 лет), согласно методическим рекомендациям центра. -Обеспечивать здоровье и физическую безопасность детей во..."
324,Педагог в группу продленного дня,Future kids,4505108,Полная занятость,Полный день,250000.0,250000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, микрорайон Жетысу-1, 51",43.217949,76.839715,https://hh.ru/applicant/vacancy_response?vacancyId=108448492,https://hh.ru/vacancy/108448492,2024-10-28T10:02:55+0300,False,Теплота и искренность отношений в коллективе. Что будет преимуществом для кандидата: Умеете доступно и качественно объяснять детям материал.,
325,Преподаватель в Школу программирования,SHAKUR A,5556338,Полная занятость,Полный день,200000.0,,KZT,"Дизайнер, художник",Нет опыта,Караганда,"Караганда, проспект Нуркена Абдирова, 36/3",49.80769,73.102607,https://hh.ru/applicant/vacancy_response?vacancyId=108837409,https://hh.ru/vacancy/108837409,2024-10-18T11:19:57+0300,False,"Желание работать и развиваться. *Знание программ, Adobe Photoshop, Illustrator, Effects, InDisign, Power Point, 3Dmax. * Опыт разработки презентаций Power Point...",
326,Педагог начальных классов в группу продленного дня,Kids Discovery Academy,9184011,Частичная занятость,Полный день,300000.0,320000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, бульвар Бухар Жырау, 27/5",43.23466873168945,76.92378234863281,https://hh.ru/applicant/vacancy_response?vacancyId=108917448,https://hh.ru/vacancy/108917448,2024-10-21T06:38:21+0300,False,"Требования: - Профессиональная, информационная, педагогическая, методическая, психологическая, организационная грамотность. - Умение работать с детьми, находить с ними общий язык, решать возникающие ситуации...",Выполнение домашних заданий. Работа над пробелами.
327,Воспитатель,Суюмкулова,5563301,Полная занятость,Полный день,200000.0,350000.0,KZT,"Воспитатель, няня",От 1 года до 3 лет,Астана,"Нур-Султан (Астана), проспект Рахимжана Кошкарбаева, 2",51.128252,71.461331,https://hh.ru/applicant/vacancy_response?vacancyId=108029112,https://hh.ru/vacancy/108029112,2024-10-02T08:34:23+0300,False,Высшее педагогическое/психологическое или средне-специальное образование. Опыт работы в образовательных учреждениях не менее 1 года. Знание методик раннего развития...,"Встречать и провожать детей, осуществлять тщательный присмотр за вверенными детьми в помещениях детского сада и на детских прогулочных площадках. "
328,Учитель предшколы - куратор,Образовательный комплекс школа FIRST,2256761,Полная занятость,Полный день,275000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, микрорайон Мирас, 59",43.186615,76.877301,https://hh.ru/applicant/vacancy_response?vacancyId=108767619,https://hh.ru/vacancy/108767619,2024-10-29T06:50:54+0300,False,"опыт работы с детьми дошкольного возраста. Пунктуальность, профессионализм, ответственность, творческий подход. - <highlighttext>учителя</highlighttext> грамотно владеющие на высоком литературном уровне казахским и...",Требуется ассистент <highlighttext>учителя</highlighttext> предшкольной подготовки и административной работы с дипломом по специальностям: <highlighttext>учитель</highlighttext> английского языка; <highlighttext>учитель</highlighttext> начальных классов; <highlighttext>учитель</highlighttext> казахского...
329,Специалист по работе с детьми (воспитатель в младшую группу от 2-х лет),Академия развития личности,1870913,Полная занятость,Полный день,280000.0,350000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Санжара Асфендиярова, 6",51.133582,71.378875,https://hh.ru/applicant/vacancy_response?vacancyId=108964800,https://hh.ru/vacancy/108964800,2024-10-21T13:21:47+0300,False,Высшее педагогическое образование (Дошкольное образование или <highlighttext>педагог</highlighttext> начальных классов). Профильный опыт работы в детском саду или в детском центре от...,1. Любовь к детям. 2. Проведение занятий по конспектам. 3. Организация активной деятельности детей. 4. Организация и проведение утренников. 5. 
330,Учитель начальных классов,LIMAN KIDS ИП ЛИМАН В.М.,4057617,Частичная занятость,Полный день,100000.0,250000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, улица Торайгырова, 19А",43.202074,76.873932,https://hh.ru/applicant/vacancy_response?vacancyId=108522004,https://hh.ru/vacancy/108522004,2024-10-11T14:36:41+0300,False,Пунктуальность. Ответственность. Умение работать с детьми.,Контроль за исполнением дом.заднаия. Доп.занятия. Закрепление. Повторение проиденного материала.
331,Требуется преподаватель биологии по подготовке к ЕНТ,Alash education KZ,11269036,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, проспект Мангилик Ел, 21",51.112682,71.432145,https://hh.ru/applicant/vacancy_response?vacancyId=109572097,https://hh.ru/vacancy/109572097,2024-10-29T18:33:31+0300,False,Высшее педагогическое образование (обязательно). Опыт работы в подготовке к ЕНТ от 2 лет (обязательно). Иметь свой метод преподавания (обязательно). ,Проведение уроков для учеников 10-11 класса. Разработка учебных планов и программ. Индивидуальная работа с учениками для достижения наилучших результатов. 
332,Преподаватель английского языка,Ольга,10128176,Частичная занятость,Удаленная работа,50000.0,200000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109341259,https://hh.ru/vacancy/109341259,2024-10-26T13:26:53+0300,False,Владение английским на уровне С1. Опыт преподавания английского языка (возможно без опыта при знание языка на уровне носителя). ,Проведение уроков английского по скайпу. Планирование уроков.
333,Педагог группы продленного дня,Smilik Group,2462417,Полная занятость,Полный день,150000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, проспект Абая, 159",43.239396,76.88862,https://hh.ru/applicant/vacancy_response?vacancyId=109479513,https://hh.ru/vacancy/109479513,2024-10-28T16:56:26+0300,False,Уметь выполнять задания на русском и казахском языке. Опыт работы с детьми.,Выполнять доашние задания с детьми с 1ого по 4ый класс. Водить детей в столовую. Давать дополнительные задания детям...
334,Педагог дошкольного образования в детский центр развития,Академия развития личности MegaKids,3729640,Полная занятость,Полный день,200000.0,300000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=92595099,https://hh.ru/vacancy/92595099,2024-10-23T12:53:22+0300,False,"Уважение и любовь к детям, умение находить к ним подход. Законченное средне-специальное/высшее педагогическое, психологическое или филологическое образование. ","Проведение занятий согласно плану. Для специалистов нашей Академии имеется четкая инструкция, как и план занятий, что облегчает процесс обучения. "
335,Преподаватель английского языка,Центр Браво,3061329,Частичная занятость,Сменный график,100000.0,270000.0,KZT,Переводчик,От 1 года до 3 лет,Алматы,"Алматы, улица Таугуль, 4",43.205268,76.836589,https://hh.ru/applicant/vacancy_response?vacancyId=109228529,https://hh.ru/vacancy/109228529,2024-10-24T15:01:51+0300,False,"Знание языка , хорошее произношение , умение работать с детьми , опыт. Условия: Занятия по расписанию в группах от 3 до 7 лет.",Обязанност проведение занятий с дошкольниками в игровой форме :
336,Требуется учитель английского в образовательный центр,Зерделі,3161416,Полная занятость,Полный день,150000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Усть-Каменогорск,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109324785,https://hh.ru/vacancy/109324785,2024-10-26T07:41:58+0300,False,Высшее образование. Опыт работы.,Проведение уроков и занятий. Контроль знаний и оценивание. Коммуникация с родителями и коллегами.
337,Учитель биологии,BI Education,10893023,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108273786,https://hh.ru/vacancy/108273786,2024-10-07T14:13:44+0300,False,Высшее и (или) послевузовское педагогическое образование. Опыт работы с программой IB Международный бакалавриат.,Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета. Способствует формированию общей культуры личности обучающегося и его социализации. 
338,Преподаватель начальных классов (Продлёнка),Happy Smiles,5757724,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, Алатауский район",43.300431,76.835404,https://hh.ru/applicant/vacancy_response?vacancyId=108632728,https://hh.ru/vacancy/108632728,2024-10-14T16:50:05+0300,False,"Наличие диплома (законченное образование). Опыт в группах продленного дня (приветствуется). Ответственность, пунктуальность, грамотность, стрессоустойчивость. Знание казахского, русского и английского языков...",Делать домашние задания. Работа с пробелами ребенка. Организация дополнительных занятия для детей с низким уровнем знаний. Обратная связь с родителями.
339,Teacher Assistant,Keystone International Preschool,10931617,Полная занятость,Полный день,250000.0,,KZT,"Воспитатель, няня",От 1 года до 3 лет,Алматы,"Алматы, микрорайон Горный Гигант, улица Владимира Иванилова, 42Г",43.212739,76.955041,https://hh.ru/applicant/vacancy_response?vacancyId=108787235,https://hh.ru/vacancy/108787235,2024-10-29T11:24:34+0300,False,"Supporting each child’s social, emotional and intellectual growth and development. Passion for working with children. Patience and understanding with...","...guidance of a <highlighttext>teacher</highlighttext>, supervision of children during classes in subgroups, in the absence of a <highlighttext>teacher</highlighttext> for operational reasons..."
340,Учитель английского языка,ANN GLOBAL,3340285,Полная занятость,Полный день,300000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Шымкент,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108656957,https://hh.ru/vacancy/108656957,2024-10-15T10:20:15+0300,False,Преподавание английского языка разным возрастным группам от уровня Beginner до Upper Intermediate/Advanced.,"Преподавание английского языка взрослым с уровнями от Elementary до Advanced. Презентация занятий, проведение презентационных уроков. Поддерживать связь с родителями. "
341,Преподаватель математики,MathON Study,10756568,Полная занятость,Гибкий график,80000.0,250000.0,KZT,Другое,От 1 года до 3 лет,Алматы,"Алматы, улица Шакена Айманова, 126",43.237741,76.897468,https://hh.ru/applicant/vacancy_response?vacancyId=108160224,https://hh.ru/vacancy/108160224,2024-10-04T08:36:29+0300,False,"обязательное знание казахского и русских языков. -умение работать с детьми 1-11 классов. -ответственность. -коммуникабельность. -амбициозность, креативность. Если вы амбициозный...",
342,"Директор физико-математической частной школы ""Байтерек""",Байтерек Білімі,10120134,Полная занятость,Полный день,,,,Другое,Более 6 лет,Алматы,"Алматы, улица Толе би, 109",43.253751,76.923178,https://hh.ru/applicant/vacancy_response?vacancyId=108962106,https://hh.ru/vacancy/108962106,2024-10-21T12:50:12+0300,False,"Высшее образование в области образования, педагогики, наук о природе или смежной области. Дополнительное образование в области управления образованием будет преимуществом. ","Управление школьным персоналом, включая набор, обучение и мотивацию <highlighttext>учителей</highlighttext>. Обеспечение качественного учебного процесса и эффективного управления учебными ресурсами. "
343,Middle Revenue Analyst,"Epam Kazakhstan (Эпам Казахстан),ТОО",183957,Полная занятость,Полный день,,,,"Финансовый аналитик, инвестиционный аналитик",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109230678,https://hh.ru/vacancy/109230678,2024-10-24T15:31:09+0300,False,Readiness to shifted working hours 12 PM – 9 PM (UTC+6) / 11 AM – 8 PM (UTC+5). At least one...,"Calculate revenue based on timesheets, contracts and internal policies. Prepare accounts for monthly/annual closure procedures and conduct in-depth..."
344,Преподаватель Python,Sana computers,5236121,Полная занятость,Гибкий график,,,,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Астана, улица Сакена Сейфуллина, 31",51.171864,71.424617,https://hh.ru/applicant/vacancy_response?vacancyId=109295167,https://hh.ru/vacancy/109295167,2024-10-25T14:02:33+0300,False,Коммуникабельность. Ответственность. Опыт разработки и программирования.,Курсы офлайн.
345,Педагог раннего развития,ИП Кудрявцева,3195923,Частичная занятость,Сменный график,50000.0,80000.0,KZT,"Воспитатель, няня",От 1 года до 3 лет,Алматы,"Алматы, улица Казыбек Би, 156",43.254034,76.912201,https://hh.ru/applicant/vacancy_response?vacancyId=108543686,https://hh.ru/vacancy/108543686,2024-10-12T09:33:01+0300,False,,"Работа по детально разработанным конспектам клуба, что значительно облегчит Вам подготовку к занятием."
346,"Монтессори педагог в группу 1,5-3 года",BusyBee,9934770,Полная занятость,Полный день,200000.0,450000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, улица Радостовца, 323А",43.209243,76.895716,https://hh.ru/applicant/vacancy_response?vacancyId=109196338,https://hh.ru/vacancy/109196338,2024-10-24T09:54:12+0300,False,Опыт работы не менее 1 года в Монтессори центре или саду. Уважение к детям. Грамотная речь. Желание учиться и развиваться. ,Коммуникация с родителями. Обеспечивать досуговую деятельность и творческую занятость. Написание плана программы для детей совместно с методистом. Ежемесячный отчет для...
347,Учитель математики и физики,UMKA LEADERS SCHOOL,10989169,Полная занятость,Полный день,500000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, улица Абдуллы Розыбакиева, 165",43.215873,76.892258,https://hh.ru/applicant/vacancy_response?vacancyId=107686196,https://hh.ru/vacancy/107686196,2024-10-22T11:13:03+0300,False,"Уметь объективно оценивать знания учеников, используя разные формы и методы контроля. Требования: - педагогическое образование. - опыт работы в школе. - ","Осуществлять обучение и воспитание обучающихся с учетом специфики преподаваемого предмета. - Уметь планировать, проводить уроки, анализировать их эффективность. - Использовать новые подходы..."
348,"Ассистент педагога с казахским или английским языком, в среднюю группу садика",Образовательный центр Damina,1851815,Полная занятость,Полный день,240000.0,240000.0,KZT,"Воспитатель, няня",От 1 года до 3 лет,Алматы,"Алматы, микрорайон Баганашыл, Подгорная улица, 14",43.19518,76.913782,https://hh.ru/applicant/vacancy_response?vacancyId=108379166,https://hh.ru/vacancy/108379166,2024-10-09T06:57:24+0300,False,"Освоение нового подхода к дошкольному образованию. * Свободное и грамотное владение казахским или английский языком. * Любовь к детям, исполнительность, ответственность. * ",Основная задача - выполнять поручения <highlighttext>педагога</highlighttext>. (Не грязная работа).
